NRO;CAP_;CDL;CAT_;PREP_;LOGRADOURO;LOTE;REFERENCIA;PASSEIO;AREA_AZUL;OBSERVACAO;AV_STATUS;AV_SCORE;AV_SIDE;LATITUDE;LONGITUDE
1003;3;7978018;AV;;CRISTOVAO COLOMBO;833;;;;;M;100;R;-30,02368916;-51,21014166
1004;3;7978018;AV;;CRISTOVAO COLOMBO;921;;;;;M;100;R;-30,02302423;-51,20946495
1005;2;7978018;AV;;CRISTOVAO COLOMBO;987;;x;;;M;100;R;-30,02253195;-51,2089807
1006;2;7978075;R;;DR VALE;41;;;x;;M;100;R;-30,02260426;-51,20836608
1007;2;7978059;R;;GEN NETO;328;;;;;M;100;L;-30,02282714;-51,20799833
1008;2;7978018;AV;;CRISTOVAO COLOMBO;1085;;x;;;M;100;R;-30,02198131;-51,20845993
1009;3;7978018;AV;;CRISTOVAO COLOMBO;1157;;;x;;M;100;R;-30,02141241;-51,20795778
1010;2;7978059;R;;GEN NETO;410;;;;;M;100;L;-30,02184738;-51,20709919
1011;3;7978018;AV;;CRISTOVAO COLOMBO;1349;;;x;;M;100;R;-30,01995639;-51,20670545
1012;2;7979073;R;;CANCIO GOMES;765;;;;;M;100;R;-30,01919256;-51,20607338
1013;3;7978018;AV;;CRISTOVAO COLOMBO;1527;;x;;;M;100;R;-30,01861118;-51,20553298
1014;3;7979073;R;;CANCIO GOMES;111;Capatazia Secao Norte;;;;M;100;R;-30,01563593;-51,21160886
1015;2;7978018;AV;;CRISTOVAO COLOMBO;1577;;x;;;M;100;R;-30,01839237;-51,2050013
1016;2;8079030;TRAV;;CARMEM;42;Lado oposto 41;;;;M;100;L;-30,01861554;-51,20467066
1017;2;8079014;PCA;;MONSENHOR EMILIO LOTTERMANN;51;Lado oposto 50;;;;M;100;R;-30,01909114;-51,20417685
1018;3;7978018;AV;;CRISTOVAO COLOMBO;1679;;x;;;M;100;R;-30,01832845;-51,2040383
